id,deep,deep_allowed,deepNet,result,ppda_cal,allowed_ppda,ppdaNet,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,ShotNet,STNet,FNet,CNet,YNet,RNet,HtrgPerc,AtrgPerc,PercNet
402,7,10,-3,d,8.53125,12.14814815,-3.61689815,16,5,8,5,2,0,16,5,15,3,3,0,0,0,-7,2,-1,0,0.3125,0.3125,0
403,16,2,14,w,3.588235294,39.92307692,-36.33484163,5,2,8,4,1,0,17,10,12,5,1,0,-12,-8,-4,-1,0,0,0.4,0.588235294,-0.188235294
404,2,16,-14,l,39.92307692,3.588235294,36.33484163,5,2,8,4,1,0,17,10,12,5,1,0,-12,-8,-4,-1,0,0,0.4,0.588235294,-0.188235294
405,4,4,0,w,6.375,6.434782609,-0.059782609,12,3,21,6,3,0,11,5,8,9,4,0,1,-2,13,-3,-1,0,0.25,0.454545455,-0.204545455
406,4,4,0,l,6.434782609,6.375,0.059782609,12,3,21,6,3,0,11,5,8,9,4,0,1,-2,13,-3,-1,0,0.25,0.454545455,-0.204545455
407,7,7,0,w,20.11764706,8.45,11.66764706,9,3,12,4,3,1,16,4,6,7,1,0,-7,-1,6,-3,2,1,0.333333333,0.25,0.083333333
408,7,7,0,l,8.45,20.11764706,-11.66764706,9,3,12,4,3,1,16,4,6,7,1,0,-7,-1,6,-3,2,1,0.333333333,0.25,0.083333333
409,4,8,-4,l,15.93333333,22.52631579,-6.59298246,14,7,3,9,1,0,3,2,12,2,2,0,11,5,-9,7,-1,0,0.5,0.666666667,-0.166666667
410,7,7,0,d,8,11.27272727,-3.27272727,15,4,12,2,5,0,12,3,9,5,0,0,3,1,3,-3,5,0,0.266666667,0.25,0.016666667
411,2,9,-7,l,22.52173913,10.28,12.24173913,16,7,11,3,0,0,7,2,11,6,4,0,9,5,0,-3,-4,0,0.4375,0.285714286,0.151785714
412,9,2,7,w,10.28,22.52173913,-12.24173913,16,7,11,3,0,0,7,2,11,6,4,0,9,5,0,-3,-4,0,0.4375,0.285714286,0.151785714
413,7,7,0,d,11.27272727,8,3.27272727,15,4,12,2,5,0,12,3,9,5,0,0,3,1,3,-3,5,0,0.266666667,0.25,0.016666667
414,8,4,4,w,22.52631579,15.93333333,6.59298246,14,7,3,9,1,0,3,2,12,2,2,0,11,5,-9,7,-1,0,0.5,0.666666667,-0.166666667
415,8,5,3,w,13.56521739,11.24137931,2.32383808,10,4,11,1,2,0,10,4,15,4,0,0,0,0,-4,-3,2,0,0.4,0.4,0
416,5,8,-3,l,11.24137931,13.56521739,-2.32383808,10,4,11,1,2,0,10,4,15,4,0,0,0,0,-4,-3,2,0,0.4,0.4,0
417,16,7,9,w,14.58333333,32.68421053,-18.1008772,19,7,5,8,0,0,3,2,8,4,0,0,16,5,-3,4,0,0,0.368421053,0.666666667,-0.298245614
418,7,16,-9,l,32.68421053,14.58333333,18.1008772,19,7,5,8,0,0,3,2,8,4,0,0,16,5,-3,4,0,0,0.368421053,0.666666667,-0.298245614
419,4,3,1,w,9.928571429,10.94736842,-1.018796991,13,3,11,7,1,0,7,2,6,3,0,0,6,1,5,4,1,0,0.230769231,0.285714286,-0.054945055
420,3,4,-1,l,10.94736842,9.928571429,1.018796991,13,3,11,7,1,0,7,2,6,3,0,0,6,1,5,4,1,0,0.230769231,0.285714286,-0.054945055
421,8,5,3,d,5.6875,8.818181818,-3.130681818,6,3,14,1,2,0,7,4,22,4,3,1,-1,-1,-8,-3,-1,-1,0.5,0.571428571,-0.071428571
422,5,8,-3,d,8.818181818,5.6875,3.130681818,6,3,14,1,2,0,7,4,22,4,3,1,-1,-1,-8,-3,-1,-1,0.5,0.571428571,-0.071428571
423,6,10,-4,l,17.4375,8.689655172,8.747844828,14,6,7,4,2,0,9,2,7,3,1,0,5,4,0,1,1,0,0.428571429,0.222222222,0.206349207
424,1,10,-9,l,28.81818182,9.588235294,19.22994653,18,8,7,10,0,0,7,2,4,3,3,0,11,6,3,7,-3,0,0.444444444,0.285714286,0.158730158
425,10,1,9,w,9.588235294,28.81818182,-19.22994653,18,8,7,10,0,0,7,2,4,3,3,0,11,6,3,7,-3,0,0.444444444,0.285714286,0.158730158
426,10,6,4,w,8.689655172,17.4375,-8.747844828,14,6,7,4,2,0,9,2,7,3,1,0,5,4,0,1,1,0,0.428571429,0.222222222,0.206349207
427,2,3,-1,l,12,7.727272727,4.272727273,5,5,9,2,0,0,16,10,17,4,3,0,-11,-5,-8,-2,-3,0,1,0.625,0.375
428,17,4,13,w,5,15.89473684,-10.89473684,13,6,18,4,0,0,8,3,7,2,0,0,5,3,11,2,0,0,0.461538462,0.375,0.086538462
429,2,2,0,d,16.69565217,4.733333333,11.96231884,9,4,13,5,0,0,5,1,12,2,3,0,4,3,1,3,-3,0,0.444444444,0.2,0.244444444
430,4,17,-13,l,15.89473684,5,10.89473684,13,6,18,4,0,0,8,3,7,2,0,0,5,3,11,2,0,0,0.461538462,0.375,0.086538462
431,3,2,1,w,7.727272727,12,-4.272727273,5,5,9,2,0,0,16,10,17,4,3,0,-11,-5,-8,-2,-3,0,1,0.625,0.375
432,2,2,0,d,4.733333333,16.69565217,-11.96231884,9,4,13,5,0,0,5,1,12,2,3,0,4,3,1,3,-3,0,0.444444444,0.2,0.244444444
433,21,4,17,w,12.3,29.9375,-17.6375,14,4,4,4,0,0,13,7,8,3,2,0,1,-3,-4,1,-2,0,0.285714286,0.538461538,-0.252747252
434,4,21,-17,l,29.9375,12.3,17.6375,14,4,4,4,0,0,13,7,8,3,2,0,1,-3,-4,1,-2,0,0.285714286,0.538461538,-0.252747252
435,5,7,-2,l,13.06666667,11.44,1.62666667,10,1,3,5,1,0,18,6,13,5,1,0,-8,-5,-10,0,0,0,0.1,0.333333333,-0.233333333
436,7,5,2,w,11.44,13.06666667,-1.62666667,10,1,3,5,1,0,18,6,13,5,1,0,-8,-5,-10,0,0,0,0.1,0.333333333,-0.233333333
437,1,20,-19,l,34.3125,7.633333333,26.67916667,7,1,5,2,2,0,22,12,12,4,1,0,-15,-11,-7,-2,1,0,0.142857143,0.545454545,-0.402597402
438,20,1,19,w,7.633333333,34.3125,-26.67916667,7,1,5,2,2,0,22,12,12,4,1,0,-15,-11,-7,-2,1,0,0.142857143,0.545454545,-0.402597402
439,13,9,4,d,7.294117647,9.166666667,-1.87254902,15,2,13,3,2,0,17,5,13,3,3,0,-2,-3,0,0,-1,0,0.133333333,0.294117647,-0.160784314
440,9,13,-4,d,9.166666667,7.294117647,1.87254902,15,2,13,3,2,0,17,5,13,3,3,0,-2,-3,0,0,-1,0,0.133333333,0.294117647,-0.160784314
441,6,1,5,d,9.444444444,8.972222222,0.472222222,11,4,9,4,1,0,12,4,13,5,2,0,-1,0,-4,-1,-1,0,0.363636364,0.333333333,0.030303031
442,4,7,-3,d,10.77777778,7.24137931,3.53639847,10,2,11,3,3,0,8,3,13,4,3,0,2,-1,-2,-1,0,0,0.2,0.375,-0.175
443,4,6,-2,l,13.75,9.764705882,3.985294118,16,5,10,4,2,1,6,3,10,5,2,1,10,2,0,-1,0,0,0.3125,0.5,-0.1875
444,7,4,3,d,7.24137931,10.77777778,-3.53639847,10,2,11,3,3,0,8,3,13,4,3,0,2,-1,-2,-1,0,0,0.2,0.375,-0.175
445,2,23,-21,d,29.5,4.923076923,24.57692308,25,6,9,14,1,0,5,3,7,2,2,0,20,3,2,12,-1,0,0.24,0.6,-0.36
446,4,2,2,d,8.259259259,9.8,-1.540740741,12,6,11,7,1,0,11,3,13,6,0,0,1,3,-2,1,1,0,0.5,0.272727273,0.227272727
447,23,2,21,d,4.923076923,29.5,-24.57692308,25,6,9,14,1,0,5,3,7,2,2,0,20,3,2,12,-1,0,0.24,0.6,-0.36
448,6,4,2,w,9.764705882,13.75,-3.985294118,16,5,10,4,2,1,6,3,10,5,2,1,10,2,0,-1,0,0,0.3125,0.5,-0.1875
449,1,6,-5,d,8.972222222,9.444444444,-0.472222222,11,4,9,4,1,0,12,4,13,5,2,0,-1,0,-4,-1,-1,0,0.363636364,0.333333333,0.030303031
